"행정구역","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"전라남도 나주시 다도면(4617042000)","943","943","13","25","52","50","92","218","268","142","73","9","1","898","898","12","30","41","42","45","139","196","185","179","28","1"
"전라남도 나주시 봉황면(4617043000)","2,134","2,134","37","99","158","107","237","429","532","353","166","14","2","1,963","1,963","31","69","115","84","102","272","445","420","361","60","4"
"전라남도 나주시 송월동(4617051000)","3,984","3,984","301","406","650","576","598","739","410","201","94","9","0","3,981","3,981","273","408","555","460","617","643","467","319","207","30","2"
"전라남도 나주시 영강동(4617052000)","1,333","1,333","60","97","172","149","194","265","205","135","52","4","0","1,380","1,380","66","89","134","133","168","226","250","171","116","27","0"
"전라남도 나주시 금남동(4617054000)","2,402","2,402","118","211","272","182","284","435","432","302","150","16","0","2,366","2,366","90","131","203","186","230","402","441","401","242","39","1"
"전라남도 나주시 성북동(4617055000)","4,357","4,357","329","490","694","420","667","760","555","313","114","15","0","4,295","4,295","281","416","560","395","650","705","583","412","245","48","0"
"전라남도 나주시 영산동(4617058000)","1,535","1,535","49","83","121","98","188","312","339","230","96","19","0","1,525","1,525","39","88","102","89","104","239","312","284","228","40","0"
"전라남도 나주시 이창동(4617060000)","1,784","1,784","47","89","208","173","248","377","353","217","66","6","0","1,532","1,532","51","98","143","111","147","213","318","242","175","33","1"
"전라남도 나주시 빛가람동(4617062000)","19,484","19,484","3,137","2,462","2,178","3,906","4,120","2,124","1,077","392","81","6","1","19,707","19,707","2,988","2,484","2,400","3,973","3,948","2,091","1,213","410","166","33","1"
"전라남도 광양시 (4623000000)","79,226","79,226","6,313","8,121","11,116","9,680","12,094","16,173","9,972","4,022","1,590","144","1","72,443","72,443","6,121","7,504","8,069","8,383","11,095","13,679","8,952","4,573","3,332","714","21"
